conversation_id,metric,source,value
conv1,metric1,conversation,0.8671123634635434
conv1,metric1,teacher,0.14090405520117877
conv1,metric2,conversation,0.6683349380030719
conv1,metric2,teacher,0.9803842445992114
conv1,metric3,conversation,0.14550309893487168
conv1,metric3,teacher,0.6117110505685823
conv2,metric1,conversation,0.8228093431124965
conv2,metric1,teacher,0.5974995264757325
conv2,metric2,conversation,0.5992106463241695
conv2,metric2,teacher,0.9788989755282846
conv2,metric3,conversation,0.8364230159801339
conv2,metric3,teacher,0.9123994356795059
conv3,metric1,conversation,0.06728162777741631
conv3,metric1,teacher,0.700759505668303
conv3,metric2,conversation,0.47258227054045787
conv3,metric2,teacher,0.8294922991306025
conv3,metric3,conversation,0.16500780977490725
conv3,metric3,teacher,0.15806873459067172
